,number of tones,usage_frequency,fluency,foreign_language,music_training,music_freq,absolute_pitch,Total_Pitch perception,Total_Rhythm perception,Total_Cadence learning,Total_Style learning,Total
number of tones,0,0.10399951473531985,0.5186416437645255,0.5451256956869838,0.23448715801517067,0.9894155153408228,0.4588691325665827,0.848722735513047,0.43908125087805394,0.03940789436863479,0.4503510900514007,0.17932520128570636
usage_frequency,0.10399951473531985,0,4.5062338808920255e-08,0.0059229289143817795,0.685076701166395,0.7191774225264395,0.8138520392133652,0.8263566336756785,0.8234878677827934,0.03220636024361932,0.3215766381372725,0.2866921873979689
fluency,0.5186416437645255,4.5062338808920255e-08,0,0.7826908410692288,0.008076406512609793,0.32378158856831,0.4110656267125749,0.2969723804022796,0.30031369282996556,0.36767451135863244,0.7320779050951758,0.2162437347990037
foreign_language,0.5451256956869838,0.0059229289143817795,0.7826908410692288,0,0.022946321083598262,0.8176933762492357,0.4686091525623523,0.03633957993426891,0.031877440502829986,0.7513567892647222,0.9873562547154616,0.13560170974612767
music_training,0.23448715801517067,0.685076701166395,0.008076406512609793,0.022946321083598262,0,0.09494116325032428,0.0006554617859690825,0.006521782172224023,0.001783613371829114,0.03343120226760816,0.2142519644350745,0.0006030662874016574
music_freq,0.9894155153408228,0.7191774225264395,0.32378158856831,0.8176933762492357,0.09494116325032428,0,0.23777867452009727,0.0035232555235923356,0.0016906374412700297,0.32558399801467736,0.41515274288336684,0.00348873723942727
absolute_pitch,0.4588691325665827,0.8138520392133652,0.4110656267125749,0.4686091525623523,0.0006554617859690825,0.23777867452009727,0,0.31618327599026413,0.15583850105402627,0.001549919377314388,0.08582825500585044,0.009876731740645253
Total_Pitch perception,0.848722735513047,0.8263566336756785,0.2969723804022796,0.03633957993426891,0.006521782172224023,0.0035232555235923356,0.31618327599026413,0,7.577494021574819e-07,0.023216186172511883,0.2522905277365941,1.2322285737014052e-13
Total_Rhythm perception,0.43908125087805394,0.8234878677827934,0.30031369282996556,0.031877440502829986,0.001783613371829114,0.0016906374412700297,0.15583850105402627,7.577494021574819e-07,0,0.015538001337388153,0.0024911015823357516,3.0842243653443444e-16
Total_Cadence learning,0.03940789436863479,0.03220636024361932,0.36767451135863244,0.7513567892647222,0.03343120226760816,0.32558399801467736,0.001549919377314388,0.023216186172511883,0.015538001337388153,0,0.00015691982349202516,4.181317510189673e-12
Total_Style learning,0.4503510900514007,0.3215766381372725,0.7320779050951758,0.9873562547154616,0.2142519644350745,0.41515274288336684,0.08582825500585044,0.2522905277365941,0.0024911015823357516,0.00015691982349202516,0,3.647176091370462e-08
Total,0.17932520128570636,0.2866921873979689,0.2162437347990037,0.13560170974612767,0.0006030662874016574,0.00348873723942727,0.009876731740645253,1.2322285737014052e-13,3.0842243653443444e-16,4.181317510189673e-12,3.647176091370462e-08,0
